support_item_number,support_item_name,jurisdiction,price,unit,effective_start,effective_end,schedule,table
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_013_0107_1_1,Assistance With Self-Care Activities - Standard - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_200_0115_1_1,Short Term Accommodation - Standard - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_200_0115_1_1,Short Term Accommodation - Standard - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_200_0115_1_1,Short Term Accommodation - Standard - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_201_0115_1_1,Short Term Accommodation - Standard - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_201_0115_1_1,Short Term Accommodation - Standard - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_201_0115_1_1,Short Term Accommodation - Standard - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_202_0115_1_1,Short Term Accommodation - Standard - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_202_0115_1_1,Short Term Accommodation - Standard - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_202_0115_1_1,Short Term Accommodation - Standard - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_203_0115_1_1,Short Term Accommodation - Standard - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_203_0115_1_1,Short Term Accommodation - Standard - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_203_0115_1_1,Short Term Accommodation - Standard - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_204_0115_1_1,Short Term Accommodation - Standard - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_204_0115_1_1,Short Term Accommodation - Standard - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_204_0115_1_1,Short Term Accommodation - Standard - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_205_0115_1_1,Short Term Accommodation - Standard - Weekday Night,National,$82.57,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_205_0115_1_1,Short Term Accommodation - Standard - Weekday Night,Remote,$115.60,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_205_0115_1_1,Short Term Accommodation - Standard - Weekday Night,Very Remote,$123.86,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_206_0115_1_1,Short Term Accommodation - Sleepover,National,$311.79,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_206_0115_1_1,Short Term Accommodation - Sleepover,Remote,$436.51,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_206_0115_1_1,Short Term Accommodation - Sleepover,Very Remote,$467.69,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Night,National,$82.57,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Night,Remote,$115.60,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Night,Very Remote,$123.86,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0115_1_1,Assistance in Supported Independent Living - Standard - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0115_1_1,Assistance in Supported Independent Living - Standard - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0115_1_1,Assistance in Supported Independent Living - Standard - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0115_1_1,Assistance in Supported Independent Living - Standard - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0115_1_1,Assistance in Supported Independent Living - Standard - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0115_1_1,Assistance in Supported Independent Living - Standard - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0115_1_1,Assistance in Supported Independent Living - Standard - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0115_1_1,Assistance in Supported Independent Living - Standard - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0115_1_1,Assistance in Supported Independent Living - Standard - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,National,$311.79,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,Remote,$436.51,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,Very Remote,$467.69,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0138_1_1,Supported Independent Living - Standard - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0138_1_1,Supported Independent Living - Standard - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0138_1_1,Supported Independent Living - Standard - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0138_1_1,Supported Independent Living - Standard - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0138_1_1,Supported Independent Living - Standard - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0138_1_1,Supported Independent Living - Standard - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0138_1_1,Supported Independent Living - Standard - Weekday Night,National,$82.57,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0138_1_1,Supported Independent Living - Standard - Weekday Night,Remote,$115.60,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0138_1_1,Supported Independent Living - Standard - Weekday Night,Very Remote,$123.86,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0138_1_1,Supported Independent Living - Standard - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0138_1_1,Supported Independent Living - Standard - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0138_1_1,Supported Independent Living - Standard - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0138_1_1,Supported Independent Living - Standard - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0138_1_1,Supported Independent Living - Standard - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0138_1_1,Supported Independent Living - Standard - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0138_1_1,Supported Independent Living - Standard - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0138_1_1,Supported Independent Living - Standard - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0138_1_1,Supported Independent Living - Standard - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0138_1_1,Supported Independent Living - Night-Time Sleepover,National,$311.79,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0138_1_1,Supported Independent Living - Night-Time Sleepover,Remote,$436.51,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0138_1_1,Supported Independent Living - Night-Time Sleepover,Very Remote,$467.69,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,National,$735.80,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,Remote,"$1,030.12",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,Very Remote,"$1,103.70",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,National,$735.80,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,Remote,"$1,030.12",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,Very Remote,"$1,103.70",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,National,$735.80,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,Remote,"$1,030.12",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,Very Remote,"$1,103.70",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,National,$735.80,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,Remote,"$1,030.12",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,Very Remote,"$1,103.70",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,National,$735.80,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,Remote,"$1,030.12",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,Very Remote,"$1,103.70",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,National,$735.80,Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,Remote,"$1,030.12",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,Very Remote,"$1,103.70",Each,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0136_6_1,Group Activities - Standard - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0136_6_1,Group Activities - Standard - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0136_6_1,Group Activities - Standard - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0136_6_1,Group Activities - Standard - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0136_6_1,Group Activities - Standard - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0136_6_1,Group Activities - Standard - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0136_6_1,Group Activities - Standard - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0136_6_1,Group Activities - Standard - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0136_6_1,Group Activities - Standard - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_802_0133_5_1,Supports in Employment - Weekday Evening,National,$81.07,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_802_0133_5_1,Supports in Employment - Weekday Evening,Remote,$113.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_802_0133_5_1,Supports in Employment - Weekday Evening,Very Remote,$121.61,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_803_0133_5_1,Supports in Employment - Saturday,National,$103.54,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_803_0133_5_1,Supports in Employment - Saturday,Remote,$144.96,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_803_0133_5_1,Supports in Employment - Saturday,Very Remote,$155.31,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_804_0133_5_1,Supports in Employment - Sunday,National,$133.50,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_804_0133_5_1,Supports in Employment - Sunday,Remote,$186.90,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_804_0133_5_1,Supports in Employment - Sunday,Very Remote,$200.25,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_805_0133_5_1,Supports in Employment - Public Holiday,National,$163.46,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_805_0133_5_1,Supports in Employment - Public Holiday,Remote,$228.84,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_805_0133_5_1,Supports in Employment - Public Holiday,Very Remote,$245.19,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
10_806_0133_5_1,Supports in Employment - Weekday Daytime,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
10_806_0133_5_1,Supports in Employment - Weekday Daytime,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
10_806_0133_5_1,Supports in Employment - Weekday Daytime,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_035_0106_1_3,Assistance With Decision Making Daily Planning and Budgeting,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_035_0106_1_3,Assistance With Decision Making Daily Planning and Budgeting,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_035_0106_1_3,Assistance With Decision Making Daily Planning and Budgeting,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_037_0117_1_3,Skill Development And Training including Public Transport Training,National,$73.58,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_037_0117_1_3,Skill Development And Training including Public Transport Training,Remote,$103.01,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_037_0117_1_3,Skill Development And Training including Public Transport Training,Very Remote,$110.37,Hour,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_066_0115_1_1,Unplanned onsite shared supports in Specialist Disability Accommodation,National,"$1,616.26",Week,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_066_0115_1_1,Unplanned onsite shared supports in Specialist Disability Accommodation,Remote,"$2,262.76",Week,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
