support_item_number,support_item_name,unit,national_2026_27,remote_2026_27,very_remote_2026_27,price_type_2026_27,effective_start,effective_end,schedule,table
01_803_0115_1_1,Assistance in Supported Independent Living - Standard - Weekday Night,Hour,$82.57,$115.60,$123.86,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0115_1_1,Assistance in Supported Independent Living - Standard - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0115_1_1,Assistance in Supported Independent Living - Standard - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0115_1_1,Assistance in Supported Independent Living - Standard - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0115_1_1,Assistance in Supported Independent Living - Night-Time Sleepover,Hour,$311.79,$436.51,$467.69,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_801_0138_1_1,Supported Independent Living - Standard - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_802_0138_1_1,Supported Independent Living - Standard - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_803_0138_1_1,Supported Independent Living - Standard - Weekday Night,Hour,$82.57,$115.60,$123.86,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_804_0138_1_1,Supported Independent Living - Standard - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_805_0138_1_1,Supported Independent Living - Standard - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_806_0138_1_1,Supported Independent Living - Standard - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_832_0138_1_1,Supported Independent Living - Night-Time Sleepover,Hour,$311.79,$436.51,$467.69,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,Each,$735.80,"$1,030.12","$1,103.70",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,Each,$735.80,"$1,030.12","$1,103.70",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0104_1_1,Establishment Fee For Personal Care/Participation,Each,$735.80,"$1,030.12","$1,103.70",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0125_1_1,Establishment Fee For Personal Care/Participation,Each,$735.80,"$1,030.12","$1,103.70",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0133_5_1,Establishment Fee For Personal Care/Participation,Each,$735.80,"$1,030.12","$1,103.70",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_049_0136_1_1,Establishment Fee For Personal Care/Participation,Each,$735.80,"$1,030.12","$1,103.70",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0125_6_1,Access Community Social and Rec Activ - Standard - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0125_6_1,Access Community Social and Rec Activ - Standard - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0125_6_1,Access Community Social and Rec Activ - Standard - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0125_6_1,Access Community Social and Rec Activ - Standard - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_106_0136_6_1,Group Activities - Standard - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_104_0136_6_1,Group Activities - Standard - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_105_0136_6_1,Group Activities - Standard - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_102_0136_6_1,Group Activities - Standard - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_103_0136_6_1,Group Activities - Standard - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_801_0133_5_1,Supports in Employment - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_802_0133_5_1,Supports in Employment - Weekday Evening,Hour,$81.07,$113.50,$121.61,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_803_0133_5_1,Supports in Employment - Saturday,Hour,$103.54,$144.96,$155.31,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_804_0133_5_1,Supports in Employment - Sunday,Hour,$133.50,$186.90,$200.25,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
04_805_0133_5_1,Supports in Employment - Public Holiday,Hour,$163.46,$228.84,$245.19,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
10_806_0133_5_1,Supports in Employment - Weekday Daytime,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_035_0106_1_3,Assistance With Decision Making Daily Planning and Budgeting,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
15_037_0117_1_3,Skill Development And Training including Public Transport Training,Hour,$73.58,$103.01,$110.37,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_066_0115_1_1,Unplanned onsite shared supports in Specialist Disability Accommodation,Week,"$1,616.26","$2,262.76","$2,424.39",priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 1
01_450_0107_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_451_0107_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_452_0107_1_1,Intensive and Complex Behaviour Supports - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_453_0107_1_1,Intensive and Complex Behaviour Supports - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_454_0107_1_1,Intensive and Complex Behaviour Supports - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_455_0107_1_1,Intensive and Complex Behaviour Supports - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_400_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_401_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_402_0104_1_1,Assistance With Self-Care Activities - High Intensity - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_403_0104_1_1,Assistance With Self-Care Activities - High Intensity - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_404_0104_1_1,Assistance With Self-Care Activities - High Intensity - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_405_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_252_0115_1_1,Short Term Accommodation - High Intensity - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_253_0115_1_1,Short Term Accommodation - High Intensity - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_254_0115_1_1,Short Term Accommodation - High Intensity - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_255_0115_1_1,Short Term Accommodation - High Intensity - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_256_0115_1_1,Short Term Accommodation - High Intensity - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_257_0115_1_1,Short Term Accommodation - High Intensity - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_450_0115_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_451_0115_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_452_0115_1_1,Intensive and Complex Behaviour Supports - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_453_0115_1_1,Intensive and Complex Behaviour Supports - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_454_0115_1_1,Intensive and Complex Behaviour Supports - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_455_0115_1_1,Intensive and Complex Behaviour Supports - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_811_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_812_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_813_0115_1_1,Assistance in Supported Independent Living - High Intensity - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_814_0115_1_1,Assistance in Supported Independent Living - High Intensity - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_815_0115_1_1,Assistance in Supported Independent Living - High Intensity - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_816_0115_1_1,Assistance in Supported Independent Living - High Intensity - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_450_0138_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_451_0138_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_452_0138_1_1,Intensive and Complex Behaviour Supports - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_453_0138_1_1,Intensive and Complex Behaviour Supports - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_454_0138_1_1,Intensive and Complex Behaviour Supports - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_455_0138_1_1,Intensive and Complex Behaviour Supports - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_811_0138_1_1,Supported Independent Living - High Intensity - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_812_0138_1_1,Supported Independent Living - High Intensity - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_813_0138_1_1,Supported Independent Living - High Intensity - Weekday Night,Hour,$89.32,$125.05,$133.98,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_814_0138_1_1,Supported Independent Living - High Intensity - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_815_0138_1_1,Supported Independent Living - High Intensity - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_816_0138_1_1,Supported Independent Living - High Intensity - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_400_0104_1_1,Access Community Social and Rec Activ - High Intensity - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_401_0104_1_1,Access Community Social and Rec Activ - High Intensity - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_402_0104_1_1,Access Community Social and Rec Activ - High Intensity - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_403_0104_1_1,Access Community Social and Rec Activ - High Intensity - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_404_0104_1_1,Access Community Social and Rec Activ - High Intensity - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_450_0125_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_451_0125_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_452_0125_1_1,Intensive and Complex Behaviour Supports - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_453_0125_1_1,Intensive and Complex Behaviour Supports - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_454_0125_1_1,Intensive and Complex Behaviour Supports - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_450_0136_1_1,Intensive and Complex Behaviour Supports - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_451_0136_1_1,Intensive and Complex Behaviour Supports - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_452_0136_1_1,Intensive and Complex Behaviour Supports - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_453_0136_1_1,Intensive and Complex Behaviour Supports - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_454_0136_1_1,Intensive and Complex Behaviour Supports - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_600_0104_6_1,Group Activities - High Intensity - Weekday Daytime,Hour,$79.60,$111.44,$119.40,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_601_0104_6_1,Group Activities - High Intensity - Weekday Evening,Hour,$87.70,$122.78,$131.55,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_602_0104_6_1,Group Activities - High Intensity - Saturday,Hour,$112.01,$156.81,$168.02,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_603_0104_6_1,Group Activities - High Intensity - Sunday,Hour,$144.42,$202.19,$216.63,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
04_604_0104_6_1,Group Activities - High Intensity - Public Holiday,Hour,$176.84,$247.58,$265.26,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 2
01_134_0117_8_1,Capacity Building and Training in Self-Management and Plan Management,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
08_005_0106_2_3,Assistance With Accommodation And Tenancy Obligations,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
09_006_0106_6_3,Life Transition Planning Incl. Mentoring Peer-Support And Indiv Skill Develop,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
09_009_0117_6_3,Skills Development And Training,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
10_016_0102_5_3,Employment Assistance,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
11_024_0117_7_3,Individual Social Skills Development,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
13_030_0102_4_3,Transition Through School And To Further Education,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
15_038_0117_1_3,Training For Carers/Parents,Hour,$83.87,$117.42,$125.81,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level 3
07_101_0106_6_3,Psychosocial Recovery Coaching - Weekday Daytime,Hour,$110.44,$154.62,$165.66,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
07_102_0106_6_3,Psychosocial Recovery Coaching - Weekday Evening,Hour,$121.68,$170.35,$182.52,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
07_103_0106_6_3,Psychosocial Recovery Coaching - Weekday Night,Hour,$123.93,$173.50,$185.90,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
07_104_0106_6_3,Psychosocial Recovery Coaching - Saturday,Hour,$155.41,$217.57,$233.12,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
07_105_0106_6_3,Psychosocial Recovery Coaching - Sunday,Hour,$200.39,$280.55,$300.59,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
07_106_0106_6_3,Psychosocial Recovery Coaching - Public Holiday,Hour,$245.36,$343.50,$368.04,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
10_101_0106_6_3,Psychosocial Recovery Coaching - Weekday Daytime,Hour,$110.44,$154.62,$165.66,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
15_300_0103_1_3,Assistive Technology Mentoring,Hour,$110.44,$154.62,$165.66,priced,2026-07-01,2027-06-30,Schedule 1: Disability Support Workers,Disability Support Worker Level
04_599_0104_6_1,Centre Capital Cost,Each,$2.71,$3.79,$4.07,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Centre Capital Costs
04_599_0133_5_1,Centre Capital Cost,Each,$2.71,$3.79,$4.07,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Centre Capital Costs
04_599_0136_6_1,Centre Capital Cost,Each,$2.71,$3.79,$4.07,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Centre Capital Costs
10_599_0133_5_3,Centre Capital Cost,Each,$2.71,$3.79,$4.07,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Centre Capital Costs
01_250_0115_1_1,Short Term Accommodation - Participant Accommodation,Day,$162.85,$227.99,$244.28,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Short Term Accommodation Participant and Worker Accommodation
01_251_0115_1_1,Short Term Accommodation - Support Worker Accommodation,Day,$162.85,$227.99,$244.28,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Short Term Accommodation Participant and Worker Accommodation
01_082_0115_1_1,Medium Term Accommodation,Day,$162.85,$227.99,$244.28,priced,2026-07-01,2027-06-30,Schedule 2: Accommodation and Capital Costs,Medium Term Accommodation
01_600_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Daytime,Hour,$103.44,$144.82,$155.16,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
01_601_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Evening,Hour,$114.10,$159.74,$171.15,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
01_602_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Saturday,Hour,$147.55,$206.57,$221.33,priced,2026-07-01,2027-06-30,Schedule 3: Nursing and other labour supports,Nursing Supports Delivered by an Enrolled Nurse
