support_item_number,support_item_name,jurisdiction,price,unit,quote,start_date_iso,end_date_iso,type
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,SA,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,TAS,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,VIC,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,WA,$127.43,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,Remote,$178.40,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_014_0107_1_1,Assistance With Self-Care Activities - Standard - Sunday,Very Remote,$191.15,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,ACT,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,NSW,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,NT,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,QLD,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,SA,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,TAS,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,VIC,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,WA,$77.38,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,Remote,$108.33,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_015_0107_1_1,Assistance With Self-Care Activities - Standard - Weekday Evening,Very Remote,$116.07,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,ACT,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,NSW,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,NT,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,QLD,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,SA,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,TAS,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,VIC,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,WA,$59.06,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,Remote,$82.68,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_016_0104_1_1,Specialised Home Based Assistance For A Child,Very Remote,$88.59,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),ACT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),NSW,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),NT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),QLD,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),SA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),TAS,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),VIC,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),WA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_017_0107_1_1,On-Call Overnight Monitoring-Off Site or Onsite (Includes 1 hour of assistance),Very Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_019_0120_1_1,House or Yard Maintenance,ACT,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,NSW,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,NT,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,QLD,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,SA,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,TAS,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,VIC,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,WA,$56.98,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,Remote,$79.77,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_019_0120_1_1,House or Yard Maintenance,Very Remote,$85.47,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,ACT,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,NSW,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,NT,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,QLD,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,SA,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,TAS,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,VIC,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,WA,$58.03,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,Remote,$81.24,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_020_0120_1_1,House Cleaning And Other Household Activities,Very Remote,$87.05,H,No,2025-07-01,9999-12-31,Price Limited Supports
01_021_0120_1_1,Linen Service,ACT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,NSW,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,NT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,QLD,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,SA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,TAS,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,VIC,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,WA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_021_0120_1_1,Linen Service,Very Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,ACT,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,NSW,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,NT,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,QLD,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,SA,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,TAS,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,VIC,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,WA,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,Remote,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_023_0120_1_1,Assistance with the cost of the preparation and delivery of meals,Very Remote,$1.00,E,No,2025-07-01,9999-12-31,Unit Price = $1
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),ACT,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),NSW,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),NT,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),QLD,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),SA,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),TAS,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),VIC,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),WA,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),Remote,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_026_0115_1_1,Assistance In Living Arrangements (Host Family/Alternative Family Situation),Very Remote,NA,D,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,ACT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,NSW,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,NT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,QLD,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,SA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,TAS,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,VIC,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,WA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_027_0115_1_1,Assistance In A Shared Living Arrangement,Very Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,ACT,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,NSW,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,NT,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,QLD,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,SA,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,TAS,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,VIC,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,WA,$708.75,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,Remote,$992.25,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_045_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Weekday,Very Remote,$1,D,No,2025-07-01,9999-12-31,Price Limited Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,ACT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,NSW,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,NT,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,QLD,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,SA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,TAS,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,VIC,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,WA,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_046_0115_1_1,Assistance In Individual Living Arrangement For Person With Complex Needs,Very Remote,NA,E,Yes,2025-07-01,9999-12-31,Quotable Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,ACT,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,NSW,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,NT,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,QLD,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,SA,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,TAS,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,VIC,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,WA,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,Remote,$983.22,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0104_1_1,Establishment Fee For Personal Care/Participation,Very Remote,$1,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,ACT,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,NSW,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,NT,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,QLD,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
01_049_0107_1_1,Establishment Fee For Personal Care/Participation,SA,$702.30,E,No,2025-07-01,9999-12-31,Price Limited Supports
